Date, Experience, Questions
2013-06-09 17:03:38.94,called out of the blue  asked if i d be interested in interviewing. still not entirely sure how they got my name. had first phone interview the next week  asked no personal questions  all technical in nature. total of 3 phone interviews and an in person trip out to seattle. took about 4 months start to finish. the people in the in person interview were wonderful. very smart  laid back  and understanding. got lunch  small tour of campus  and learned what i d be doing. got the offer 2 business days after the in person interview. sadly  i signed a nda and i respect the terms of that. as such  i can t give you any specific questions  but i ll gladly give you the best advice i have. phone interviews   phone interviews are sucky by nature. coordinating a call from west to east coast alone is painful  add the fact that phones just take away the benefits of body language  and just make it harder to hear  and you ve got a recipe for disaster. but fear not  here are some helpful hints  some of which are obvious  some of which are not. 1. get ready ahead of time. i just mean  get to the area you ll be doing the interview beforehand. i d recommend an hour or more  just to get your nerves ready. breathe  get used to the surroundings  and get everything laid out ahead of time. which brings me to... 2. i know it s a  programming  interview  but for the love of all things good  have a pen and paper ready and at your disposal. bring a backup pen. much like a printer  the pen will fail at the worst possible time. you may also need a laptop  as i was asked to do  on the fly  programming. but close anything and everything distracting. speaking of... 3. pick a spot where there are no distractions. you ll want your undivided attention on this interview. don t have booktweet or facespace or mygram or that crap open if you have a laptop. and i personally wouldn t pick a public space  you never know when an annoying parent will put their screaming child right beside you. 4. breathe. just breathe. take a moment  stretch  and remember you got this. if you have trouble hearing  don t be afraid to ask again. don t be afraid to say you don t know. do as for clarifications  and state assumptions up front. always re state the problem as you understand it. as for the content   for the love of god  know what a time complexity is  and how to determine it for any and all code you write. know the time complexities of all sorts. know all data structures  how to use them  and properties of each.  insertion time  deletion  etc  generally know what heck you re talking about. but don t talk too much. you don t want silence at any point really  but you certainly don t want to let the interviewer not get a word in. know graph theory  tree theory  and all the fun stuff associated with more  complex  structures. understand what your language does behind the scenes  as far as gc and compiling go. know how your language use internal structures to manage the code objects you write.   continued below  ,you have a list of packages a  b  c such that a is dependent on b c d and b is dependent on d and c is dependent on e etc. print the sequence of packages to run   2 answers
2015-08-10 22:15:40.753,white board coding interview with engineers tech leads. i was called on campus a day before and was provided with hotel stay. the hotel is pretty close to the office to one can walk to the campus easily. i was provided with lunch first and the interview process began. i wasn t prepared much but in my opinion  the interview was fairly simple. make sure your object oriented concepts are clear to be able to solve the design questions. data structures is equally important along with its algorithmic complexity.,debugging questions and a simple question..e.g. substring of a palindrome   answer question
2015-09-17 19:53:21.433,it was a good detailed oriented process that touched up on various technical aspects of coding and developing software. it was a pleasant experience over all. it had two different telephonic rounds  coupled with 4 technical rounds. had an informal lunch sponsored by amazon with the recruiting manager who detailed the various goals non goals of team along with aligning of interests  discussion,lots of behavioral questions probing different amazon leadership principles. the white board coding questions were similar to those from cracking the coding interview or a similar book. definitely study for this interview and practice programming without a computer.   1 answer
2015-09-16 23:19:06.77,an online quiz and then a phone interview. the online quiz wasn t very hard. it tested basic computer science knowledge. the phone interview was slightly harder but it was basically data structures and algorithm questions. they give you an online editor and you type responses into it.,bit manipulation and regex and top k problem   answer question
2015-10-07 20:19:33.433,first round is a 90 minute test  20 minute debugging  35 minute reasoning and 30 minute coding   second round is telephone and then onsite interview. there are 7 debugging questions and 35 logical   aptitude questions and 1 problem to solve for the code test.,design a trie   answer question
2015-10-16 08:19:14.443,there was an initial phone screen that was almost entirely technical questions. there were two programming questions that i typed into a shared editor and a few more general questions about data structures and algorithms. the interviewer was a little disinterested. after the phone screen i was invited for a full day of 6 interviews. since i had applied to two teams there were two manager interviews and 4 technical interviews. they really hammered me with behavioral questions   tell me about a time when...  . i could see this getting exhausting if i wasn t expecting it. i definitely recommend jotting down more than one example for each of the amazon leadership principles. they didn t ask about them directly but most questions were probing in the direction of one or more. even the technical interviewers ask these kinds of questions. they are definitely looking to see if i would fit in with the amazon culture as much as whether i was technically qualified. everyone was extremely nice and obviously competent making the experience much less stressful than it could have been. i got the offer the next day via a recruiter e mail and phone call. over the next couple weeks the hiring managers and recruiters kept in constant contact. i met with the managers again in a less formal setting. they were very approachable and honest and willing to answer any questions i had. i felt a little pressure  but they were professional and reasonably patient as long as i kept them in the loop.,generating prime number   1 answer
2015-10-14 15:53:35.377,the process takes only one week. i applied through their official web site and got contact thru mail. the process is pretty negative. 45minutes the question they asked should be 2 hours long to totally got them bug free and complete. i don t think they are really want to hire some body. the site i applied is in wahshington.,read in an n by n matrix and shift each element over by one position along the edges  like a concentric circle .   1 answer
2015-10-07 11:01:18.32,1 tps. 2. fly to seattle for a 6 rounds interview system design  coding skills. white board  there is no very hard questions. talk with manager during lunch break.,No Question
2015-09-28 14:05:55.577,the interview first asked if you understand this is an phone interview with amazon and then let you to introduce the most interesting project first and then asked a question about how to efficiently generate first 100 prime number,No Question
2015-09-22 17:59:20.563,i was contacted by a recruiter in the middle of august without having applied. there was a two hour coding challenge hosted on hackerrank and then amazon would fly you out if your performance on the challenge was satisfactory.,No Question
Date, Experience, Questions
2015-10-05 16:30:42.507,got an email from college recruiter with a link to an online assessment  which was pretty easy with three parts  debugging 7  logical 24  coding 1 . the reply came today with another link to the second online assessment with two parts  working simulation and coding . still waiting for the response.,the general information including name  offer deadline and so on.   answer question
2015-10-20 09:47:03.107,was contacted by university recruiter requesting an onsite interview. did not complete any phone screens prior. i think this was either from me handing in my resume at my university s career fair  or just plain luck. flew me out one week later to seattle  wa for a day of onsite interviews. interview structure was different than normal    work in a group with other interviewees to complete a project. it was a group collaboration project  but coding was done individually. throughout the entire day  we were to code our individual parts while getting selected for 1 on 1 interviews  twice  during the day. the 1 on 1 interviews were very slack  they just asked what we were coding for that project  nothing in depth technical. got a good hotel  good reimbursements  had a good time in seattle. got the offer 8 days later. probably will take it.,code a project with a prompt   answer question
2015-10-02 23:23:25.88,there was an online assessment that consisted on three different sections and they were all timed. you had to also enable your web cam so they could verify who was taking the assessment.,there was a debugging section  followed by reasoning test and the final section was a coding test.   answer question
2015-10-21 18:54:00.56,two coding challenges followed by a 30 min jabber interview  not quite technical. got an offer without any on site or on campus interviews. i m extremely confused  not sure if this is a mistake on their part or what ...,what data structure will you use to solve the problem    answer question
2015-10-16 14:42:31.04,i was given a day to finish a project with other candidates. and i was supposed to pick up a part and finish it individually. you can ask the interviewers for help  and they will ask you question when you are doing the project.,data structure question   answer question
2015-08-17 16:17:34.73,applied through college internship fair. i got an email couple months later that i had to apply as a full time developer. i had two online assessments  one with debugging  reasoning  and coding. second with coding and work simulation. now i have group on site interview. i heard this interview is grouped with two other candidates and work on a project. i am still waiting.,signed the nda  so can not tell. but if you regularly practice programming then it should not be that difficult to design and code the solution.   1 answer
2015-09-24 19:17:57.517,i have been applying to amazon for one and half year for various intern and full time positions. got a mail in june to take an online test. result of which came one month later and i had to take another online test simulation   coding . then  i got onsite two months later for a whole day coding challenge. there was a group of three people each  and a total of eight such groups. discussion with in group was allowed but coding was individual. a laptop  desired os and ide were provided. there was like 5 6 hours for coding and two interviews in between with proctors  45 minute and 15 minute each. the proctors were welcoming and helpful in discussing solutions etc.,mostly about common hash map and bst   1 answer
2015-06-13 16:00:06.617,online test followed by phone call. online test was little difficult and they were asking two questions. 1. social graph   in this problem  we want to parse a members social graup on the hot new social network. for the unfamiliar  each member in the network has n many friends. each of those friends has n many more friends an on and on and on. we would like to write a program that given a socal graph  outputs each level of friends. each friend should only be output once  at the first level they are encountered. the root friend should not be output. input will consists of serveral lines  where each line represents a member and their friends. the final line will be the student of whom we will begin our traversal. for instance  a member and their friends will be represented as a string  a b c d where a is the member and b  c and d are the friends of a. if a member is listed without a colon  you can assume they have no friends of their own. input 4 a b c d b a d e c e b a output  b c d e,merge two sorted list.   answer question
2015-10-10 18:45:50.49,i applied online through the website and received online test in one week time  it has three parts. thirty minutes for debugging and thirty minutes for logic problem  including numbers prediction  letter changing and other describing problem at last there is a thirty minutes coding problem  my coding problem . merge two sorted list.,data structures  algorithms  time complexity   answer question
2015-09-13 14:02:07.41,received email that recruiter had come across my resume. i was then given an online assessment. afterwards i was given one more online assessment. then they flew me out to seattle headquarters.,No Question
Date, Experience, Questions
2015-08-24 20:04:12.98,two rounds of phone interviews before onsite. onsite interview was said to meet 4 to 7 different people. the fourth session was a lunch interview session with the hiring manager. it turned out to be a bit difficult to answer questions about certain previous job while having lunch. i had gone through 6 interview sessions on that day.,breadth first search  etc. linked list traversal.   answer question
2015-08-29 10:12:06.673,there was only a single round of interview which was a phone interview. the interviewer asked questions from algorithms and data structures. and there were a couple of questions to elaborate on past experiences.,given two sorted lists write and algorithm to combine them into a new sorted list.   answer question
2015-08-29 19:23:04.563,process  referred by friend  contacted by recruiter  followed by a technical phone screen. since glassdoor doesn t seem to have a section to tell my views about this interview  i am putting them here. the technical interviews taken by amazon is increasingly being shaded by unprofessional people. i was asked about 5 6 verbal questions to gauge my technical ability  each answered to perfection by me  followed by a coding question  which too was answered correctly however we mutually worked out a bunch of test cases. please refer the answers to the questions asked to me in this review below. despite of this  the interviewer blatantly rejected me on the same day shortly after the interview as i got email shortly after . i am not sure what they are looking for but i plan to ban interviewing them for rest of my life as a software engineer.   and i seriously hope that interviewer gets to read this  as these recruiters never tell them our views about their interviewing  ,to write code for  sorted merge of 2 arrays.   1 answer given a log file of various exception messages  how would you calculate the number of times each occured   1 answer difference between hashmap and linkedhashmap   1 answer how would you implement a native hashmap   1 answer
2015-08-18 10:47:11.15,it takes 1 month. two online assessment. first one consists of three parts  debugging  reasoning test  coding test. the second part containing work simulation  2 hrs  and coding test 70mins . work simulation is mainly focusing on how you make your decision on some situations,data structure   answer question
2015-08-18 09:38:49.15,spoke to five people   2 people from the fashion marketing team at the same time and 3 from the development team individually. marketing interviewers were professional but 2 developers i spoke to were rude and arrogant   didn t even pay attention to what you were saying and kept on looking at their phones.,question from one developer  write code to traverse the binary in  level order  in any languages   c  c   or java. describe time and space complexities   1 answer
2015-08-23 15:51:03.353,i applied online and received an email about 5 weeks later. set up an initial phone call with the recruiter  then scheduled a technical phone interview with a member of the team. the questions were very basic and related to the specific language for the position i was applying for. i was then invited on site to have four more technical interviews and lunch with the manager.,very basic technical questions regarding data structures  writing algorithms  determining time and space complexity  and even just a discussion about how it would be possible to solve some problems the team is currently facing.   answer question
2015-07-23 20:55:31.487,one phone call to schedule the interview was followed by another and another. not only was the time and date changing each time  but also who i would be interviewing with. by the time i was able to find someone to conduct the interview  it ended up being so rushed and short that i was wondering what the point of even doing it at all. at the end i was told by the interviewer that she would contact me again shortly  but that never happened. obviously there was a lot of internal confusion or miscommunication throughout the whole process. not sure how common this is.,simple screening questions about my background   2 answers
2015-07-28 08:33:22.12,over the phone interview with recruiter  online code test  4 technical interviews. phone interview was to quickly go over experience  online test was a timed coding test in a language of your choice. each technical interview was a 1 1 with a technical manager or senior engineer.,online code test at hackerrank.com. technical interviews were very low level comp sci sort of stuff and not specific to any technology.   1 answer
2015-07-29 00:35:14.38,my onsite interview went well. it had 5 rounds in total  4 technical and 1 managerial. in two rounds  they tested design skills and knowledge on algorithms  data structures  time complexities and too many behavioural questions in the rest of the interview. people   amazon especially recruiting co ordinators  are very nice  down to earth and very helpful. i was happy about myself. overall  it was a very good learning experience.,1. questions regarding hash maps  trees etc..   answer question
2015-06-11 13:34:27.82,first phone call  recruiter will ask you basic background information about you  academic projects  few hr questions etc.. followed by this  there will be two 45 min technical interviews with a break of 15mins in between.. they will share screen with you and will ask you to code..usually 1 2 qustions..they could be same or different in two interview calls.. once you clear this  you will be called for on site interview..,No Question
Date, Experience, Questions
2015-05-27 11:20:29.19,took around two weeks. first contacted by an amazon recruiter  then scheduled a on site interview. it was a hiring even so the on site interview was locally. met 5 people total  4 of them are engineer and one manager. the whole process took me 5 hours.,for mid level software developer  all the questions are design question. one of them is to write codes for a traffic light system  include all classes and methods.   answer question
2015-06-09 05:59:18.33,one round phone interview  basic interview questions  the interviewer is really nice. you can pass it by explaining your solution clearly. they will send you a website where you can code at. you will share the screen with the interviewer,merge array  and validate binary tree   answer question
