Date, Experience, Questions
2015-10-27 14:10:27.66,terrible experience     after the interview  the hiring manger calls and extends an offer verbally  and then for a week no response from them at all. tried reaching them via email  phone  absolutely no response. finally the recruiter is available on his mobile and he says they cannot give a certain grade   and a certain salary  i still say its ok please give me an offer letter. he says he will get back to me by the eod and no response. next week i call the recruiter again and now he says the req is closed and in turn blames me for not responding on time. clearly  looks like the hiring manger extended an offer but later they changed their mind and they have no idea how to communicate this to me  so did all sorts of things to make me drop the ball and when i did not they say the req is closed. did not expect this from a reputable organization like cisco. terrible   terrible hiring process   i feel interviewees should be give some respect when they take time to come onsite and spend a day. no point taking names  but i just wish this would be addressable and not be repeated for future candidates.,data structure algo questions and some low level questions   answer question
2015-10-23 10:44:47.663,the interviewer was a very friendly person. he began by asking me about the projects that i had done in undergraduate school. then he shifted on to a couple of design questions related to client server model and networking protocols. these were just basic questions and did not require in depth knowledge of networks. then he asked one programming question. he asked me to suggest approaches to solving it. and later on  implement one of the approaches on a white board. then he asked me if i had any questions for him. i asked a couple of questions and then it was done.,implement an algorithm to shuffle songs in a playlist   answer question
2015-09-04 18:25:07.587,had 5 6 rounds of interviews. the aptitude and problem solving was looked upon. the interview was arranged in 2 rounds. the interviewers were very friendly. each interview lasted for about 45 mins to an hour. different rounds covered different topics like os  networking  data structures etc. a lot of algorithms questions were asked to test the aptitude.,multi threading and synchronization related questions   answer question
2015-06-21 19:31:44.077,contacted by recruiter and had a 30 minute talk. went on to have a phone interview which was a technical programming interview. some basic computational problem. went onsite and had 4 hours of interviews including architectural design and programming.,asked me to describe how computers work at a high and low level  as well as design a rest api for a complete system   answer question
2015-07-23 14:14:48.987,it was a long interview   almost take a whole day. first  the recruiter let me in the building  order lunch for me. then group leader had a overall talk  then 2 tech guys come with tech interview   in very detail. talking with hm is the last step.,working experiences  working habits  programming  project experiences  family status  ....   answer question
2015-09-11 12:03:41.333,it was medium to difficult. asked about bit level manipulations  writing codes for algorithms like sorting  searching  graph and tree traversals and few more. asked about the projects done as part of coursework. asked some theory questions related to oops  operating systems and network basics.,multithreading  tcp ip   answer question
2015-04-20 13:50:44.833,worst interview experience ever. it started with a referral for application level position. got an email requesting time for phone interview. after  deciding that got call from the same engineer that they have to fill the requistion so you will have to come onsite this week. so i rescheduled other interviews and went for the interview. when i reached the building my point of contact was not reachable. i waited in the lobby for 15 minutes and a gentleman from completely different team came and said i will interview you for my team. so from application team to a low level embedded team  what a jump. one of the interview asked me what is the balanced tree. i started explaining about the height and how difference in the height gets to the balanced tree. i was shocked to learn that interviewer s definition of balanced tree was a binary search tree. after explaining the interviewer and interviewer searching on the web for 5 minutes said there are these two definitions of the balanced tree and let s move on. one interviewer was very rigid about the hash chaining implementation. they wanted specific answers to specific questions rather than the thought process. the whole process was wierd.,question whether the binary tree is balanced    1 answer
2015-04-16 19:44:12.33,hard interview  asked in depth questions about operating system internals and obscure data structures. disconnect between what was posted on the listing and what the actual interview questions covered. other than the questions the interviewers were nice and courteous. if i had expected questions on object oriented programming i would have done better.,what is an autonomous system    answer question
2015-04-13 23:40:14.65,first one with hiring manager  second with technical manager. they were both phone interviews. the first went well  but the second was terrible. i was told that it would take about half an hour and it ended up being over two. i felt like i was just being read a list of words to see if i could define. kept being asked oop questions even though i kept mentioning my strength was in functional programming. i felt sort of mocked at the end  like no matter what i said it would be incorrect,awful  1hour  of questions ranging from ood principles to linux to c   c to networks to python. also got asked what books i read to  keep current    answer question
2015-08-10 22:35:59.25,interview was three part  with one engineer for the first and third sessions  and an interview with a product manager and another engineer for the second. interviewer  1 frequently left the interview and was busy on his own work throughout. interview  2 was culture fit  interview  3 was pleasant with a friendly engineer.,build a deck of cards  represented by strings and each card  039 s suit and value separated by a string.   answer question
Date, Experience, Questions
2015-03-02 00:15:10.82,started with phone interview from hiring manager  and 4 webex technical interviews. all interviews were technical  involving data structures  algorithms  object oriented programming and web services  and some problem solving questions,coding questions   answer question
2015-05-11 20:07:21.687,i initially got an interview through an employee referral and interviewed with a senior engineering manager of an asic design team. the manager asked me about various things about the c   programming language as well as my knowledge about scripting and vlsi. he also tested me on my problem solving and communication skills in an engineering setting in general.,what is a namespace in c  .   answer question
2015-08-17 13:51:00.073,i had applied online. i received an email to schedule a phone interview approximately after a month. the interview lasted for 1 hour  on phone. i was also asked to write code in an online editor. i was asked to write 2 3 small programs on string operations. i got the offer and interned at cisco.,basic string programs   1 answer
2015-09-30 22:18:43.71,telephonic screen at first with a skype interview. asked questions on red   black trees  data structures  linked lists   cloud based project. easy interviewers with sufficient help and support provided.,explain red  amp  black trees   answer question
2015-09-22 07:15:04.8,give my resume in the career fair and get the interview directly which is on the second day. it was face to face interview and he asked me non tech questions almost. most are based on my resume.,a lot about my personal experience and several questions about python. explain the difference between map and something.   answer question
2015-04-22 19:14:21.133,i applied to the interview through university recruiting. cisco invited me to an interview. the entire interview was behavioural and at the end was told that this would be the final interview. i was quite shocked there was no technical side  came as both a shock and concern. after two weeks i get a email requesting to touch back. they asked whether i would be fine doing a test validation position instead. i declined  saying that i only was looking for software development.,please explain your resume    1 answer
2015-02-07 23:42:34.337,hand in resume on career fair and get the interview invitation in a week then campus interview. alternate behavior question and basic bit munipulate question for 30 mins. paper coding and some concept explain,behavior question   basic bit minupulate   answer question
2015-02-06 16:21:08.26,applied at campus career fair  got an email next day to schedule an interview on campus. the process was fairly simple. they mostly focus on behavioral questions and your resume which are pretty easy to tackle. since i had no prior work experience they asked me some basic networking questions. interview lasted about 40 minutes after which in about 2 weeks they sent me an offer.,basic questions about routers  bridges  hubs.   answer question
2015-02-03 14:26:27.24,applied online and received an email requesting to setup a phone interview. phone interview was about 30 minutes and was conversational about resume and projects worked. onsite interview was two hours broken into short one on ones with team members and director. most were conversational again besides one that tested your software skills.,code a simple linked list.   answer question
2015-02-11 01:17:14.373,skype like. asked some concepts about data structures including hashtable and binary search tree. asked to solve some basic coding problems using stack and binary search tree. lasted for 40 min. high demand for c programming than other language.,data structure things.   answer question
Date, Experience, Questions
2015-02-23 19:47:40.51,just asking some behavior questions and basic technique questions. for example  how to deal with the disagreement with your teammate what is version control  they also asked some questions related to python.,what is version control   answer question
