Date, Experience, Questions
2015-10-12 16:41:24.697,all this took place in august. first round  written test on campus second  technical interview on campus third   behavioral interview fourth  hr to discuss location  etc. got the results right there and then   however the offer letter came later in january after several mix ups. make sure you have some sort of written communication with them,written had c and logical questions. technical interview  basic networking osi model  cisco packet tracer   answer question
2015-08-20 10:08:35.483,first applied through my careers database. had a phone call with hr to see what my interests were  what team i wanted to be on. then had a phone call with an analyst who was full time  asked a few accounting questions but it was mainly fit. then had a call with a senior level manager and got the job after that.,tell us why you want to be at cisco    2 answers
2015-10-05 12:00:13.967,interview very well had interviewed twice call me back to keep me updated then they went with another person for the position with more experience so i thank them for the opportunity and be looking for the future i may be hearing from you again what s the offer again,where do you see the company within five   answer question is the company goals for their employees   answer question and what do you expect from your new employees just started with the company   answer question do you consider yourself a team player s   answer question is this a career or job for you   answer question
2015-09-01 20:14:16.027,very relaxing  it was 4 interviewers with 30 minute intervals each. 2 were managers and 2 were members of the team. interview with managers were very casual  just having an every day conversation. 2 team members had more team related and situational questions and also personality questions but were fairly easy as well.,are you a night or morning person  and why    answer question
2015-07-05 14:02:14.13,i applied for an engineering intern position through the online application system. received an interview. the interview surprisingly had no technical questions and focused mainly on my past work experience. at one point  however  my interviewer made me very uncomfortable by suggesting that if i got the position  it would be because i am female instead of my existing computer science qualifications.,how would you feel if you got the position  knowing that it is because you are female    1 answer
2015-03-29 11:30:42.947,there was an initial application process  then a phone interview. the second round interview took the form of a short video conference interview. the interviews were fairly informal and mostly about background experience.,what is your experience in presenting technical information in a non technical way    answer question
2015-04-17 21:06:28.55,my university has a program partnering with cisco and i applied to the university program first. after passing the university interview  i was referred to cisco. about three weeks later  i interviewed with two managers back to back. i received a letter of intent a day later and the rest of the process took about two weeks. the interviews seemed like normal conversations  they were super welcoming ,what is your opinion on the one china policy    answer question
2015-02-17 01:09:59.837,i met a cisco representative at a career fair  and then was asked to have an in person interview soon after. it went by quickly  and i had my interview shortly after. it consisted of mostly behavioral questions  the recruiter went through my resume and was very nice about the process. nothing technical  just make sure you know your qualifications well.,why do you want to work for cisco  what is a time when you had to work in a team    answer question
2015-02-06 08:58:23.05,i went to career fair and spoke to the person from cisco. later that day  i received a call from the person asking for an interview. the interview went pretty smooth. just basic questions like how would you describe yourself  and why would you want to work at cisco. the interviewer did ask a question relating to demand planning  which was related to the position i was applying for.,if cisco created a new product  how would you know how many to manufacture    answer question
2015-02-18 11:11:01.397,applied through college  got an intervew in a week or so. interview consisted of few behavioral questions  few technical questions  and a puzzle kind of a riddle. questions weren t too hard. the puzzle was a lot of pressure though. behavioral questions about effective communication and team work environment experiences.,team work question. programming questions.   answer question
Date, Experience, Questions
2014-11-11 17:19:50.987,applied through on campus recruiter. scheduled an interview a week later only to have it postponed a month. interview was mostly technical. what part did talk about interest in the company and position didn t seem to interest interviewer. for technical thought process questions  when i didn t get an answer or i got it wrong the interviewer had no interest in talking about it and just wanted an answer.,8 balls the same size  one is heavier than others  how many times do you need to use a balance scale to find the ball  how many times if you don t know whether the ball is heavier or lighter  light bulb in a room  three switches outside the room  can only go into the room once  how do you find which switch goes to the light    3 answers
2014-11-07 08:43:01.19,started at recruiting even on campus. after learning of the internship i applied online. around a month passed before i received an email in regards to the internship. i was then contacted by somebody in hr to set up an interview through webex. the first round interview lasted thirty minutes  and was with an nce. a lot of the questions were personality based  and asking what my goals were. a few technical questions were thrown in at the end. overall a good experience  cisco seems like a great company to work for. i am scheduled for the next round of interviews  i will try to update.,describe ospf  also asked to tell them network  broadcast  and usable addresses for certain ip addresses in different subnets. no calculator obviously.   1 answer
2014-04-23 20:13:07.43,i received 3 interviews  all of which were very pleasant and helpful.,all of the questions were very straight forward  no curveballs.   answer question
2015-09-22 14:00:02.783,most of the time they asked me simple questions like  give me a time when   and in the second round interview they also asked me more technical questions  about my experience in electrical engineering  and about my research and my on campus activities. as long as you sound like a person that people want to work with then you ll be fine,give me a time when you had to step up as a project leader    answer question
2013-11-25 11:45:41.873,i interviewed with cisco at a conference. there was no actual coding questions involved. they asked about data structures and networking terminologies.,questions on tcp   answer question
