Date, Experience, Questions
2014-09-13 16:40:04.19,first was a hr   technical interview. spoke about 2 projects and answered questions on them. 25 min online technical interview. question was  given a pattern and a string   find if the string follows the same pattern eg  pattern    a b b a   string   cat dog dog cat  ,given a matrix of friend enemy relationship between a group of people  your goal is to figure out if two individuals have a particular relationship chain    039 friend of a friend  039     039 enemy of a friend  039   for example  consider when you have the following matrix of relationships  where f means   034 friend of  034  and e means   034 enemy of  034   and an entry at  x y  is the relationships between individual x and individual y   fe f f ef  in this example  individual 0 and individual 2 have a relationship chain e  eg. 0 lt    gt 2   but they also have the relationship chains ff  0 lt    gt 1 lt    gt 2  and effe  0 lt    gt 2 lt    gt 1 lt    gt 0 lt    gt 2 l that is cycles of relationships are possible. these relationships have the following properties  1. being friends and enemies are symmetric  so if person a is friend with person b that implies that person b is also friends with person a  similarly with enemies 2. a person cannot have a relationship to themself and so no relationshp chain will include 0 lt    gt 0 3. the only valid relationships are f  e  or    friend  enemy  or neither  given a matrix of size n x n  the indices for 2 individuals  and a relationshp chain as a string  return 1 this relationshp exists between 2 people and 0 if otherwise. this is the boilerplate function  i had to write the code for  n   number of people frenemy is the relationship type x   index of person a y   index of person b relationship   def is frenemy n  frenemy  x  y  relationship     answer question
2015-10-02 12:11:09.6,this is just the question for the online skills test. i don t have anymore info to offer except for the type of questions one might see in on of these challenges.,if you have 2 separate lists  construct a method to find the values they intersect at and return the list   answer question
2015-10-14 23:10:35.113,applied during career fair and came in for the on campus interview. first round was technical  and it lasted fairly short   30 minutes . overall  the process ran very smoothly although they had an extremely large number of candidates being interviewed within the same 2 day time frame. the interviewer covered general technical questions and simple big o notation on the methods.,breadth first search   answer question
2015-08-26 07:44:47.107,i had previously applied to an internship or something at dropbox and so i had the contact information for my college s recruiter so during the summer i reached out and told her i was interested in applying to a full time role. she sent me a coding challenge later where i had 60 minutes to complete the activity. it wasn t too bad  just a bfs with some modifications. i did well and so i moved on to a phone interview with 2 people asking questions. we briefly talked about my resume and then had another coding question  which i did not perform very well on. i think if i had done well  i would have had one more phone interview then onsite.,program a web crawler  then make it multithreaded.   answer question
2015-06-19 06:34:57.487,a recruiter found me on linkedin and was always in touch throughout the process. she was very helpful and friendly. i had two phone interviews  done on coderpad. both asked me about a previous project for ten minutes  then gave me an eng interview. they were friendly and happy to answer questions about dropbox after. i passed them and went to an onsite interview  where i had three eng interviews  one demo session  an engineer showed off upcoming dropbox products   and an hour long culture fit interview where they got someone from my college to answer all my questions and take notes on what i asked said. all the eng questions were already covered  or straight out of cracking the coding interview. overall everyone was very friendly and helpful. it took the recruiter 2 business days to get back to me after phone screens  and 1 week to give me the results of my onsite. i didn t get an offer  but i was told to apply again in a year and i certainly will.,class registration system. you have to implement 9 functions like create delete classes  students  enroll deenroll student to class  remove class  deregister all students . i was writing the same checks over and over again. may be i should have used python.   answer question
2015-07-25 19:38:47.737,hackerrank challenge   was lengthy   there was no thought process involved   was a typing speed contest. use python. i used c   applied online   got a reject because i couldn t finish the challenge.,implement a class to allocate integer ids and release them so that they are reusable   answer question implement getelementbyclassname and getelementbyhierarchy in the dom in js   answer question
2015-08-11 14:10:02.757,i had two phone interviews with two different engineers  both very polite and courteous. the first one asks a few questions about projects i ve worked on  teamwork and processes in my current team  then we get started with the technical question. the second one starts with the technical question right away.,you are building a website and how would you count the number of visitors for the past 5 min. follow ups included exploring potential concurrency issues and how would you fix it.   3 answers
2015-03-10 13:06:55.977,first the recruiter sent me an online coding challenge about class registration as mentioned before by lots of reviews. the time limitation is 2 hours. after a week i got a phone interview. the question is about count the number of visitors on a website for the past 5 min. follow ups included exploring potential concurrency issues and how would you fix it. an online collaboration editor was used  and your code need to be compiled and run. the engineer who spoke with me was really nice.,dropbox questions are covered by an nda. some of them already appeared on glassdoor though.   answer question
2015-03-18 06:09:26.517,about two weeks after submitting my resume  a dropbox recruiter reached out to organize a phone screen. after establishing that i require a us visa and the application deadline is fast approaching  two phone interviews were scheduled back to back on the shortest possible notice. within 24 hours  an invite to the headquarters was extended  and by the time weekend rolled around i was flown from europe to san francisco  expenses paid. i was encouraged to take a couple of days to rest  enjoy the city  and recover from the jet lag before interviewing. once fresh and ready  i went through a full day of on site interviews  including discussing past projects  hands on coding  and data structures algorithmic whiteboard questions. the day was intense  fast paced  and accentuated with the delicious tuck shop food and perfectly brewed coffee. the dropbox interviewers were smart  yet approachable  knowledgable  yet humble. within two hours of completing the interview  a preliminary offer was hinted at. after i flew home  a full offer was extended  negotiated on  and signed  all within a day. essentially  everything happened at the speed of light.,how to design a web counter that returns number of visitors in last 5 mins   answer question
2015-03-31 08:49:39.09,phone screening. dropbox seems only ask a few questions that they always ask. the can all be found on this website... on the second round  the interviewer found out that i have seen the first question  and thus went directly to the second one. i took an approach that is not very easy to implement  and didn t do well... interview these days are so fake,No Question
Date, Experience, Questions
2015-04-10 20:52:41.737,online coding test. the question is mentioned here. not difficult  but the online compiling and testing takes time. it s better to review the code before running the test.,online coding test   answer question
2015-02-25 10:51:23.377,applied through university job fair and got the reply. it was a 1 hour long interview with technical questions. normal behavior questions followed by two questions related to log system. and then talked about the complexity of the algorithm.,normal behavior questions followed by two questions related to log system. and then talked about the complexity of the algorithm.   answer question
2015-03-15 06:18:13.013,two phone interviews  one onsite. phone interview  background related questions first. then followed a technical problem. the problem is easy initially but they will ask for optimization  which is the hard part. then they asked me to go to sf for onsite interview. there are three more interview the same as the phone interview  except you see the real interviewer.,normal questions requiring knowledge of algorithm and multithreading   answer question
2015-04-07 19:28:17.33,applied online through their job portal. got a reply where they asked me to solve an online test. i applied in november 2014 and got a reply soon for the test. but due to other work i had to delay the test till february. i was given a week to complete the test,implement a class registration system. the requirements were neatly specified in a very long description. the method declarations were provided. i was asked to implement around 8 to 9 methods according to the requirement.   1 answer
2015-03-29 09:24:59.08,i was called me on time for a coding interview via coderpad.io. the initial conversation was brief because the main interviewer joined dropbox recently and had basically nothing to talk about w.r.t job experience  etc. the problem statement was simple   find all duplicate files by content in your filesystem.  however  the question was somewhat awkward via coderpad.io because it involved i o. i didn t know what to expect from traversing a real filesystem via coderpad.io. i have experience working with low level filesystem design  so i tried to clarify the problem statement but didn t get much love  e.g.  http   wiki.osdev.org file systems  to make things more confusing  the interviewer described the problem using a list of arrays that seemed the input of the problem. as a matter of fact  that was the expected output. i realized that because after 20 minutes working with it as input  he pasted the actual input as a tree. i ran out of time because i was basically designing my own index from the input  errr output  then doing a tree traversal.,find all duplicate files by content in your filesystem.   5 answers
2015-03-14 15:28:30.33,met dropbox at university career opportunities conference  and was contacted that night for an on campus interview for the next day. my interviewer was an alumni from my university and he asked me about courses that i was taking and taing and about a couple of the projects on my resume. and he then went onto ask my a programming question and continuously took down notes as i was explaining my solution.,deduplication from a file system in any programming language of your choice   answer question
2015-01-27 07:41:22.46,the online portion of the interview asked to implement a class registration system. each student had a number of classes they were assigned to  and each class had a number of students. functions were needed to add students  add classes  remove students  remove classes  etc. there was around a two hour time limit.,class registration   answer question
