Date, Experience, Questions
2014-09-18 10:19:00.367,phone interview starting with introducing yourself followed by two code questions. the first coding question is very standard coding question and the second one is a little more related to facebook s certain functionality,write a function to find how many valid letters are in a string of digits give the mapping  a    1 b    2 ... z     26 ex   123    1  12  23     a    l    w    answer question
2015-10-27 12:46:12.47,applied at a career fair  and then got an email for an on campus interview. the process was really quick  2 weeks so far. they will notify for on site interviews within a few days after the on campus.,add two integers provided as two arrays.   answer question
2015-10-27 14:28:41.923,had two brief phone screening  first one was behavioral questions  next one was technical. passed both and went for an online interview on hackerrank. the question was easy but i believe i burnt too much time on the first one and the interviewers never got a chance to ask the rest of the questions.,what s hackerthons have you been to   answer question
2015-10-22 12:52:32.88,talked to them at the career fair at our university. they really care about what outside projects you have done. heard back in a week and scheduled an interview with them in 5 days.,1 system design question  1 manager interview   tell me about a time...    2 algorithms questions.   1 answer
2015-10-16 08:50:48.103,i was local to the facebook offer so they did the screens in person. the first one did not go very well  but went well enough to get a second chance  as opposed to a full interview . the second one went better and i was invited back for a full day of interviews. they were able to rush the process since i had other offers. the full day interview was 4 interviews. 1 system design question  1 manager interview   tell me about a time...    2 algorithms questions. everyone was welcoming and enthusiastic  so that made the stressful process easier. i got a call from the recruiter about 4 days later telling me they were not moving forward with an offer. a bit disappointing and it wasn t entirely clear why as i thought the interview went well. i was interviewing for a smaller office so maybe that made a difference.,q. balance a string of unbalanced parenthesis   q. iterator class for binary tree.   1 answer
2015-10-05 14:35:22.4,applied through career fair at my university  got called for an on campus interview. the interviewer was very helpful. started off with discussing my resume and asked two questions based on algorithms. the interview lasted for 45 minutes. waiting to hear back,leetcode is more than enough for the coding. take more time on database design.   answer question
2015-10-07 19:24:08.15,first round of interview happened one month ago  and was informed one week after that i was invited to a onsite interview. as usual  it starts late  at noon. one system design  two coding and one culture. the interviews are not difficult  but do need solid knowledge on database design  basic data structure and algorithms. no more than string  pointer  graph and tree.,tell me about yourself  why facebook etc etc... then he asked my  read  system call implementation  he provided me with a base file system interface which would always fetch 4k bytes from the current position. i had to make sure i read only as much bytes as specified in my system call   answer question
2015-10-27 19:14:09.743,applied through career fair. got an on campus interview call after one week. interview was scheduled 3 weeks after i got the email about being selected for the interview process. facebook also hosted a dinner for all the people who were being interviewed.,find all subsets of a set.   answer question
2015-10-21 21:32:56.77,referred by a friend for an internship. after two weeks got a phone interview. the interviewer was nice  and after like 10 minutes behavioral questions i was given a technical problem. passed the first interview  waiting for the second. moderate question.,binary trees  linked list   1 answer
2015-09-30 15:10:07.57,two runs of phone interview  all coding questions similar to leetcode  has to be bug free. the interviewers weren t very patient. the recruiter called back in a week saying that they won t go on.,No Question
Date, Experience, Questions
2015-04-04 14:44:52.803,i was ask to answer a few question about my resume and followed two coding questions. for each question  the interviewer asked the time and space complexity and how to improve them. at the end  he asked me whether if i had questions for him or the company.,1. binary tree level order traversal 2. given a string and a pattern  .  matches any single character.     matches zero or more of the preceding element.   find the first substring matching this pattern.   4 answers
2015-10-04 15:04:02.05,phone screen test of duration 45 mins where interviewer started with briefly describing what he works on and straight away went to asking the interview question. towards the end he left 5 minutes for me to ask questions.,given a string 12345 and a alphabet to number mapping like a  1  b  2..  y 25  z 26 write a code to find number of possible alphabet strings from the given string. e.x. string 12345 has possible alphabet strings as  lcde awde  abcde .   6 answers
2015-10-06 08:32:35.547,i applied to facebook through their website and got a call from the recruiter the next day. he asked the standard screening questions and set up a technical phone screen for later that week. the phone screen was done using coderpad.io  and they threw me off from the very beginning by setting up a c   environment although i had told the recruiter that i was most comfortable in python and although i never claimed anywhere that i had any familiarity with c  . still  interview questions tend to be general enough that  as long as you aren t completely unfamiliar with the language syntax  you can generally do a decent job in any language. so off we went in c  . the interviewer was very pleasant  and even gave me some tips for how to improve my resume at the beginning. then we dived into the coding. he had actually chosen a great question to determine my programming ability. unfortunately  i botched it by making too many assumptions about the question and not considering carefully enough what lay behind the interface that the interviewer had provided me. this all happened maybe two or three weeks ago and i am sure that i won t be progressing to the next step. the one negative in all this is that the recruiter has not followed up at all with me. yes  rejection is not uncommon when applying at a company like facebook  but that doesn t mean that the company shouldn t have the courtesy to at least inform you of it. so overall  great experience in the beginning but i was turned off by the lack of respect for the process that i sensed from the recruiter.,given a buffer like interface from which you can only read data in chunks of a fixed size  implement a reader which can read as many bytes as it wants from this interface.   answer question
2015-10-14 20:03:26.6,i was reached by a facebook recruiter through referral program. the recruiter was very quick  and i was phone interviewed in next couple of days. the coding question is not difficult  but has to be bug free for all coding questions. i answered two coding questions  and the last question had a followup question. the followup question is a bit difficult  so i messed up with some coding details.,for an array of non negative integer numbers  and a target number  determine whether there s a subarray whose sum equals to target number   answer question
2015-09-01 19:21:43.43,apply online  get contacted  complete a phone screen  a phone interview  and an on site whiteboard interview. you must pass each round separately  but the final round i was flown out and got to experience interviewing on their campus and learn what their engineering life was like.,nda  but basic cs1 style questions  similar to other companies. know your structures  specifically trees  and be able to apply them to a problem in working code on the fly.   answer question
