Date, Experience, Questions
2014-05-04 14:13:17.187,direct onsite because i interviewed in the past and did well that time. from the time i sent my resume to interview day  2 weeks. from interview day to offer over the phone  2 weeks. the syllabus for the interviews is very clear and simple  1  dynamic programming 2  super recursion  permutation  combination ...2 n  m n  n ...etc. type of program.  np hard  np programs  3  probability related programs 4  graphs  bfs dfs are usually enough 5  all basic data structures from arrays lists to circular queues  bsts  hash tables  b trees  and red black trees  and all basic algorithms like sorting  binary search  median ... 6  problem solving ability at a level similar to topcoder division 1  250 points. if you can consistently solve these  then you are almost sure to get in with 2 weeks brush up. 7  review all old interview questions in glassdoor to get a feel. if you can solve 95  of them at home  including coding them up quickly and testing them out in a debugger   editor setup   you are in good shape. 8  practice coding  write often and write a lot. if you can think of a solution  you should be able to code it easily...without much thought. 9  very good to have for design interview  distributed systems knowledge and practical experience. 10  good understanding of basic discrete math  computer architecture  basic math. 11  coursera courses and assignments give a lot of what you need to know. 12  note that all the above except the first 2 are useful in  real life  programming too  interview 1  graph related question and super recursion interview 2  design discussion involving a distributed system with writes reads going on at different sites in parallel. interview 3  array and tree related questions interview 4  designing a simple class to do something. not hard  but not easy either. you need to know basic data structures very well to consider different designs and trade offs. interview 5  dynamic programming  computer architecture and low level perf. enhancement question which requires knowledge of trees  binary search  etc. at the end  i wasn t tired and rather enjoyed the discussions. i think the key was long term preparation and time spent doing topcoder for several years  on and off as i enjoy solving the problems . conclusion   it s not the best who win the race  it s the best prepared who win it. ,none.   3 answers
2015-02-26 12:10:56.94,i first had a phone screen interview. after this  i was asked to come onsite for further interviews. i had 4 whiteboard and 1 lunch interview with the youtube team. after this  i was told that my application is going through the hiring committee. hiring committee asked my hr to find a team for me before giving any decision. i then had two phone interviews with different teams in android. i informed my hr that i am interested in the first team. next day  hr emailed me and said that this team no longer has an open position. i again went through the same process. this time  platform team was interested in talking to me. i gave 2 phone interviews wherein they made me write code. after their feedback  i was put through the hiring committee again and this time i got a thumbs up from them. 1 week after that i was put through executive committee and got my offer. i had 7 other offers and my hr asked me about all of them before putting me through executive review. they gave me more than any other company i had offer from.,1 oo design algorithms question  2 algorithms questions  1 system design question   1 answer
2015-07-20 11:03:00.217,the interview went seemingly smoothly  except for a couple quirks in the code on the whiteboard. the questions were way easier than i expected. the interviewers were not intimidating at all and did not try to make the process stressful. i felt like i passed and according to hr  the overall feedback was positive. my application went to the hiring committee which  in turn  rejected the offer.,they involved recursion and hash tables.   answer question
2015-09-09 20:53:14.677,awesome process. very simple questions. keep your nerves cool. don t worry about very complex questions on the internet. do basics and you should be good. i screwed up two simple questions and not expecting offer. i will apply again next year .,you are given a collection of m arrays with n integers. every array is sorted. develop an algorithm to combine each array into one sorted array.   1 answer
2015-10-16 08:44:59.873,i was referred by a current employee and was able to bypass the phone screen. they were very flexible with scheduling and i wanted to study a bit so i scheduled an onsite  the first of two  about a month out. i received an offer for another software engineering job and upon notifying my recruiter we were able to combine the 2 hour and 3 hour interviews into a single day 5 hour interview. at the onsite there were 4 interviews total. the first was a design question. it was intentionally severely underspecified. i had to design object oriented data structures and an algorithm to solve the problem. once i solved it the interviewer upped the difficulty by changing the problem parameters a but  what if the entire input won t fit into memory on a single machine . this pattern was typical throughout the day. two of the remaining interviews were typical algorithms questions such as those seen in cracking the coding interview. the last was a distributed systems design problem with no programming. i had to design a system from scratch  focusing on scalability  reliability  and performance. once the interview was over i had to wait about a week for the hiring committee to meet. i m not sure how much this was sped up by already having an offer. they met and gave the thumbs up. this wasn t an offer  but according to the recruiter was almost as good as one. i then met with the managers for three teams that were potential starting teams. these meetings were only 30 minutes so it was tough to decide. i then ranked the teams in order of my preference and sent that to the recruiter. i had to wait for the compensation committee  which was about another week later  6 days i think . i then got the official offer and start project over the phone from my recruiter and via e mail. they gave me 5 days to respond  although i m guessing this would have been flexible. i accepted the offer after picking a start date.,3 sum problem that can be found on leetcode.   answer question
2015-10-27 16:53:53.273,i applied for a summer internship junior year. they gave me 4 phone interviews but i didn t make it to the onsite round. in senior year they emailed me saying that i did well during those interviews and gave me an onsite interview. i thought i did pretty well at the onsite  got all 4 questions correct  but ultimately did not get the offer.,all technical questions.   answer question
2015-10-09 17:41:48.16,i was contacted by a recruiter to interview for a software engineer position at their mountain view headquarters. i went through two technical phone interviews and was invited for a day long interview at the googleplex. the entire process for me was about 4 months from the initial contact to the onsite interview. i was given about 2 months to prepare for the first phone interview. in the end  i did not get the job. but getting the chance to review all the cs stuff i ve learned over the years was extremely valuable. i also picked up some things as well. if you decide to go through the interview process  i recommend you take it seriously. i believe i am a much better computer scientist as a result.,p  np hard  np complete questions couple of data structures questions   answer question
2015-10-13 12:51:05.977,i got the interview through employee referral. the first round is a phone call asking some backgrounds and project experience. the second round is 45 min phone interview of technical questions. the on site interview took a day. 4 rounds of 45 mins interview. i didn t do well in the last of the 4 rounds.,No Question
2015-10-18 11:00:31.413,i was back in china when i interviewed for mtv position. they setup 4 rounds of chinese interviews and 1 round english interviews. most of questions are technical questions to test programming skills and algorithm design. once i passed the interview process  they offer h1b visa to hire me in us.,No Question
2015-09-17 10:33:58.54,about 2 months long telephone interview and then 2 onsite interviews the telephone interviewer asked basic questions and assessed your personality the onsite interview was more technical and asked questions that were more difficult,No Question
