Date, Experience, Questions
2014-05-12 19:49:22.483,had two phone interviews. both interviews consist of coding for given problems. only coding..not asked my research or interest area even though i am a phd candidate who mainly research on specific topic.,too much coding test   1 answer
2014-05-21 00:19:38.147,got interview opportunity by talking to university recruiter. interviewed at hq with a small team of guys. asked a lot of cs questions. took about 2 hours. did not get offer.,write a method to return all permutations of a string.   2 answers
2014-03-11 09:42:46.657,i applied from the google job website and got an email from recruiter 2 weeks later. phone interview was scheduled for an internship position. there was 2 45 minutes technical phone interviews.,after given clearly definition of utf 8 format. ex  1 byte  0b0xxxxxxx 2  bytes .... asked to write a function to validate whether the input is valid utf 8. input will be string byte array  output should be yes no.   answer question
2014-03-10 21:53:28.56,i applied online and within about a week i was offered an interview. the interview consisted of a google hangout with two different google employees that each interviewed me for 45 minutes. the guys couldn t get there audio working so they both just called me instead.,the dude basically asked me  what weird things have you found in using c   odd question...   2 answers
2014-03-03 15:23:15.937,phone interview. apply on google website. take two week for process and schedule phone interview one three to four weeks later,1. describe what happens when user surf the internet 2. what s java object class. name one of its method. what will be returned for equal   if two objects have same hashcode   3 answers
2014-02-14 18:36:07.337,got interview from recruiter  since i had participated in one of google s summer programs. i was scheduled 2 interviews one after the other on the same day. my interviewers were very friendly and down to earth.,given an array of  unsorted  integers  arrange them such that a  lt  b  gt  c  lt  d  gt  e... etc.   4 answers i noted python as my language of choice and was thus asked a lot about it  including libraries i had not used before. so whatever language you pick  make sure you re an expert on it    answer question
2014-02-06 16:17:01.803,the hardest part was getting offered the interviews. i applied through the website as well as emailed a contact from my university   about 3 4 weeks later  i heard back from a recruiter. i had two technical phone interviews  not too bad   i felt like luck had a factor  followed by a longer host matching period. i just went with the first host that contacted me because i liked the position and didn t want to risk not getting an offer in the end.,under nda   can t talk about these. reviewing your algorithms book won t hurt  however.   answer question
2014-03-14 19:25:32.39,submitted resume online and got connected by recruiter. then scheduled two 45 mins technical phone interviews with google engineers. it was not hard but i gave them wrong answer about time complexity. but the engineers are very nice and friendly. after that i got the email about making a third phone interview. i think that might because i did just on average in the first two rounds and they want to give me another chance. but later i got several other offer deadlines approaching and thus declined further interview process with google. google s host matching round takes quite a time. but great company though.,not so hard. they like to ask complexity analysis for each question.   1 answer
2014-05-13 07:19:21.77,i ask a friend to refer me in jan and get first phone interview in feb. the interview question is quite simple  very common with leetcode problems. and they will ask you to analyze the complexity and improvements. i got one more interview in march  since they are hard to evaluate me. after i pass the interview in march  they said i am in a hosting match process. i was very excited  however  i found that at that time there is almost no positions in google. the final result is that i got a reject letter no long before.,common interview problems like string processing. remove repeated chars in a string.   2 answers
2014-02-21 03:59:32.823,i applied for this job and in a month was contacted by a recruiter. he has set two technical interviews one after another and let me choose the date. both interviews were tech screens  in google hangouts   took approximately 45 minutes and had identically the same structure   first 3 4 minutes interviewer introduces himself and lets you quickly introduce yourself  then he asks you one programming question  you need to code your solution in google doc so that he sees your performance. after that you discuss possible bugs and time space complexity  pay attention to it  that s really important .,some basic question   in the solution you just need to apply some rule to change the array order   1 answer
Date, Experience, Questions
2014-01-22 17:25:59.973,i interviewed with google in late march last year for the software engineer internship for 2013. it s a technical interview. they re not that interested in your resume  but they want to know what you can do and how you think  coding wise. the questions aren t particularly tricky  but it s a phone interview  so it can be pretty difficult to convey your coding ideas over the phone. meanwhile  they watch you as you type on a google doc.,given a tv remote  write a script that would give directions to input some letters. starting from the upper left hand corner. if the buttons were in 3 columns  and you wanted to type  feed   you would want the output of the program to say  right  right  down  press  left  press  press  left  press    6 answers
2014-01-17 05:07:58.233,2 phone interviews  1 host match interview. phone interviews are quite standard. basic graph traversal. and some problems you can find on leetcode careercup. just need to remember the most commonly used data structures and big o complexity for their operations.,all basic questions  nothing complex.   answer question
2013-12-12 09:57:56.027,first i had two technical interviews  which were back to back  by phone  45 minutes each. i coded in a google doc that was shared with the interviewer. they asked standard factual questions about java and oop  which i had stated i was familiar with  and asked me to work through a programming problem in the language of my choice  i chose perl  the interviewer wasn t familiar but was fine with that . i made some mistakes in my code  didn t check some boundary conditions  the interviewer asked e.g.  what about when x   y   i fixed it  it was fine. then i had two interviews with potential hosts  they asked me what i wanted to get out of the internship  what experience i had with the technologies they used  and how i would approach various research and engineering problems.,google says you re not supposed to repeat specific questions. i don t remember anything anyway. everything was pretty standard.   answer question
2014-01-03 12:27:31.49,two phone interviews  45 mins each,fair regular expression parsing questions   1 answer
2013-11-25 04:57:11.287,2 phone interviews  mostly technical  only a couple of minutes for your own questions at the end and perhaps a brief introduction of your previous experience at the beginning. if the interviews go well  then host matching begins. different potential hosts interview candidates until they find a suitable match. the host matching is usually just a relaxed conversation.,i can t remember the toughest question. preparing with topcoder  acm icpc or uva online judge should do. try to keep the conversation going at all times. it s alright to take a pause for a couple of seconds and think  but it s important to always let the interviewer know how we are tackling the problem.   answer question
2013-11-12 06:07:36.86,the hiring process was pretty good. i was recruited  so i had a slightly different pathway  but the recruiter was always on top of things  and response time was quick.,low level systems questions  non traditional questions.   answer question
2013-10-28 12:43:33.37,contacted by google within two weeks from resume submission. two consecutive phone interviews in 2 hours  each of which lasts for 45 minutes and with one coding question. no behavioral question. the first interview asked extensively about data structures and some language design questions. the second interview started coding question directly without asking anything else.,nothing needs knowledge of fancy algorithms  e.g. knuth morris pratt algorithm. you just need some  street smartness  on practical problems to work out coding problems. chapter 10 scalability and memory limits in cracking the coding interview will help.   answer question
2013-11-14 14:27:52.403,it was a tough interview. most of the questions were from ds and algos. and i had to design one problem. there were two interviews of 45 min each.,signed nda      answer question
2013-11-14 15:58:56.053,2 back to back phone interviews using google doc. the first one with a software engineer who had indian accent was pretty good. two coding questions related to string manipulation and tree structure. but no questions related to resume were asked. then  the second one was with a software engineer who had chinese accent. i spent quite a long time to understand what he meant many times during the interview. he asked me about many low level systems questions and questions about the most challenging projects i had done. then  there was an unorganized and unclear question about dictionary. however  in 10 minutes  it turned out to be implementing overriding a function in java string class. it was kind of weird. and then  at last  when he told me that what questions i would like to ask him  i said  could you tell me something about your team  and how long have you been working in google   pretty normal questions  right  however  then  he was like  it seems like you are doing a survey   wt...his replies really made me feel quite uncomfortable. it was not a pleasant experience as i had expected at the beginning. the position and expectation google had in my heart were lowered to some extent.,signed nda. questions related to data structures and algorithms.   answer question
2013-11-14 14:04:00.423,i applied online and was contacted by a google recruiter  2 weeks later. she set up two back to back 45 minute phone interviews for me. first interviewer was 15 minutes late and was very disinterested. he asked me to implement something that i d say is very difficult and that i couldn t find online later. regardless i think i did an alright job. second interviewer asked me more standard interview questions. i got to the optimal solution for the first question and figured out a solution for the second question and the interviewer seemed to like me.,this was one of the more standard questions. you have stairs with n number of steps. you can take either one step steps or two step steps  how many ways can you climb the stairs    3 answers
Date, Experience, Questions
2014-03-27 18:02:03.193,i submitted my resume online on their website. a recruiter contacted me within 2 weeks. interview times are very flexible. gave me a whole month to pick dates from. i had two phone interviews  45 minutes each  back to back.,this was my first technical interview  so i was very unprepared. i will say prepare well. the first interview was not really hard  and the interview help you a lot through the process. think loud while you are coding  on google doc   interviewer will help you  and it allows him to analyze your problem solving skills. it consisted of some string related questions  their efficiencies and way to improve your code. the second interview was meant to be hard  as the interviewer himself mentioned. it was supposed to check your limit. i will not disclose the questions  as i respect their policy. but know you data structures well  like really well. and also efficiency of algorithms.   answer question
2013-10-25 22:10:18.77,had my resume in a database for a women s conference. google reviewed it and contacted me for an interview at the conference. no phone screen  just two interviews on site  back to back  each 45 minutes. asked me questions that involved recursion.,nothing too complicated.   answer question
2013-11-23 10:48:12.253,2 technical interviews  1 host matching interview  more explaining the project than an interview  everyone was very nice in the process and very quick to respond if i had any questions. really no surprises in the process  brush up on key cormen data structures chapters before hand.,signed an nda to not disclose questions but topcoder  glassdoor  leetcode  projecteuler and careercup will give you almost all of the types of questions you will see. the questions were not super complicated  but were able to probe if you have a basic algorithms   cs background quite well. know your big os of standard operations on datastructures  worst case  best case average case analysis.   answer question
2013-04-15 07:57:36.4,they were very prompt when it comes to recruiting. it took me about 3 weeks from the moment i applied to the point where i had all the interviews. my advice is to practice doing easy medium problems of div. 1 interviewers were helpful in general. pay close attention to data structures and algorithms. you need not know anything more than what is being in the standard courses of the university with a good cs program.,signed the nda    basic stuff. if you do well on topcoder algorithms   you should be fine.   answer question
2013-03-18 09:47:45.183,i was contacted by a recruiter that put me through two back to back interviews. the questions were interesting and definitely took time to answer. once the interviews were over  i was put into a host matching period where i had to wait for someone at google to want to take me as an intern.,not going to disclose the questions but data structures with a sweet twist   .   answer question
2013-03-20 20:01:34.677,2 phone interviews plus host matching interview,brain storming within short time   answer question
2013-03-15 01:29:52.993,had two phone interviews. asked basic questions  algorithm  oop  complexity  data structures  and some probability problems. the interviewers are nice. they do not expect you to answer all of their problems  but to see how far you can go with these problems.,probability problems   answer question
2013-03-18 09:01:28.24,was contacted by hr almost immediately after applying. i filled out a candidate questionnaire and was scheduled to interview on campus at my school. the questions were straightforward problems and overall not very difficult  analysis of algorithms  sorting  data structures . they asked me about my past experience  various projects i ve worked on  what was the biggest challenge for me writing software. i had to sign a nda related to interview questions.,what was the most challenging project you worked on  explain why.   answer question
