Date, Experience, Questions
2015-10-26 11:02:31.74,5 rounds of on site interview. two in the morning  one lunch interview and two in the afternoon. they were very friendly and did not ask many technical questions. they only asked me to introduce myself and go over the resume and talk about my skills. the whole experience was very pleasant. they reimbursed for the flight and hotel.,explain the difference between const int   and int const  .   answer question
2015-09-03 11:54:26.203,phone screens with multiple groups of engineers. asking casual and technical questions. straight and to the point about the position. usually a coding question or two at the end.,write some code to reverse a string.   1 answer
2015-10-01 15:28:48.313,submitted resume on intel jobs site received prescreening phone call from engineering manager phone interviews  one hour each with the project manager and the software director one hour in person interview with the project manager in person interview with software director over lunch in person personality interview with the engineering manager,why would you want to leave your current position    answer question
2015-08-27 22:49:17.85,it was a phone interview  they sent me an email two days earlier to inform me about the interview and then the interview took just 30 minutes. the interview was very easy and the interviewers were very nice.,they just went through my resume and asked me questions about my previous work and some of the networking protocols that i know and what programming languages i use the most.   answer question
2015-06-24 08:01:32.1,i initially applied online and it took about two months to actually get called back. once i got called back though  the process went very quickly  first  i was contacted for a phone screening that was pretty straightforward with a few behavioral questions and technical questions that felt like they were read off of a paper. after passing the phone screening i was contacted two days later with a second more technical phone screening. it also had a few behavioral questions and a few questions that actually asked me how i would design a program. a couple days after that  i was contacted for a flight out to the intel campus for an in person interview. the flight scheduling was really nice  intel covered everything  flight  hotel  car rental  food . the on campus interview was rather intense  not because it was hard but because it was draining. it started at 8 00 am and i had interviews with 9 people  mostly 1 hour  but two were half hour  ending at 5 00 pm. the on campus interviews tended to always start with a behavioral question or two  then they would lead off into technical questions. i was asked to write code on a whiteboard  locate bugs in some printed code  write code on paper  and how i would design certain solutions  sometimes with code and sometimes with just a high level overview . the intel campus was great  it was huge compared to what i m used to. the campus had three food courts  which had some good food from the lunch that was provided for me   a spa and salon  massage therapist  gym  with karate and yoga classes at the moment  but i was told more are offered   play area  ping pong tables  pool tables  air hockey tables  and what s even better is people were actually playing    us bank branch  not just an atm  but actually a desk with a teller   and health center with a doctor and nurses  you know  for all the injuries programmers get from typing. actually  you can go there for all your regular checkups .,write a recursive java function to reverse a string object   1 answer why should we hire you    answer question why do you want to work at intel    answer question how would you design a web service to limit a user to 1000 transactions per hour    answer question if you have 8 coins and one weighs more than the others  give three algorithms with their best and worst case comparisons. which of the three algorithms would you use  alright  code the algorithm.   answer question give an example of how you dealt with a stressful situation.   answer question give an example of how you dealt with an angry coworker   answer question
2015-10-27 20:00:12.233,the requirements were shell scripting perl and tcl. it was technical phone interview. they asked basic commands  what does the commands do like pipeline cat        in unix. they also asked few data structure questions and some sql queries.,basic unix commands and perl commands   answer question
2015-06-09 19:38:18.65,applied online after noticing posts on linkedin. had two rounds of telephonic interviews. both were 30 to 40 minutes long. they were very supportive and brought out the answers from me by providing hints and encouragement. i had a very pleasant experience interviewing with both the engineers.,questions mainly focused on the language c. the questions were directed towards gauging your understanding your understanding of how c works as a language and how compilers work in general. questions included difference between c and python  advantages of c  disadvantages of c.   1 answer
2015-05-04 23:07:09.853,met me in lobby and took me into a small room. individually interviewed with several different high up engineers separately. process was about 2.5 3 hours total. they all asked me some conceptual questions  experience and behavioral.,describe parsing sets of data using excel and storing the parsed data into a proper data structure.   answer question pros and cons of c c     answer question dealing with a bad group member   resolution   answer question resume questions  experience  how it will be helpful for their group   answer question things i ve built  what languages  why  what i learned   answer question
2015-04-09 18:48:05.39,i feel like my opinion of this is marred by the fact that the interviewer doing my phone screen had a thick accent and i couldn t understand him. even though the questions asked weren t hard  the interview was difficult and i kept having to ask him to repeat himself  which probably did not make me look good.,create a binary tree and print its nodes in postorder.   answer question
2015-07-09 16:30:20.113,i had a phone interview with the hiring manager who asked me to talk about my previous work experience and the relevant coursework. i was also asked some basic technical questions related to c  . after this i was called for an onsite interview which had two rounds. one was technical where i was asked questions related to embedded systems and operating systems.after this it was similar to a hr round where i was supposed to answer how i reacted to various situations at my previous work place.,differences between mutex and semaphore...what is a spin lock   ....when would you use each of these  ..difference between structure and union...   answer question
