Date, Experience, Questions
2015-10-11 15:04:49.62,oracle sends your resume to a bunch of teams. some of them decide the want to interview you. every interview is different   and highly specific to the team you have applied for.,describe your most significant project   1 answer describe the most difficult bug you have ever had to find.   1 answer
2015-10-02 20:58:15.627,talked with recruiter and immediately was invited on site. i was recommended by a friend who is an oracle employee so maybe that got me past the screening process. met with the team for mostly laid back interviews. there was a coding problem on a computer with an editor and the ability to look up details online while programming. then they asked you about the time and space complexity of your solution. there was also a white board coding interview and a few behavioral questions   tell me about a time when...  . there was a second phase where i would have brought a coding sample to discuss and give a white board technical talk  but i decided not to come in for round 2.,the questions were similar to those in cracking the coding interview or one of the other popular books. definitely worth studying if you are rusty on your undergraduate level algorithm design.   answer question
2015-04-01 09:39:51.96,applied online directly through their site. was a graduating senior and had spoken ot a few of their recruiters a campus job fairs   they advised me to apply to specific openings,typical interview questions   nothing surprising   answer question
2015-02-25 16:27:59.143,met with 3 groups on 2 different days. oracle people are very nice  from recruiters to managers. they managed to create a pleasant conversational environment and never put pressure on you. very few technical questions  the process is quite smooth. they arranged lunch with two alumni  very informative and considerate. but they raise a high bar for selecting candidates for onsite. i think this is why oracle interview is easy but still can hire talented people.,it depends on groups that are interested in you. some groups asks algorithm coding questions while others place more emphasis on communication and behavior. anyway  you can assume nothing in advance  be prepared for data structure  algorithms and basic technical questions. after all  for a software engineer position  the responsibility is to write code every day.   answer question
2015-02-05 19:47:44.99,i applied via a contact with a friend  heard back pretty quick. they questioned me a lot about my previous employers and very little about my abilities  which felt frustrating. i honed this skills that they seemed intent on ignoring. i wish the interview was more about the job at hand.,what s one thing you would change about your previous work environment    answer question
2015-02-20 10:22:46.983,the recruiter contacted me about 2 weeks after i submitted application online sent resume to an email address for internship . the recruiter asked for my updated resume and transcripts and then arranged a 5 minute phone chat with me. the phone chat is mainly about the overview of the internship and the interview process. and there is only one round phone interview for internship in oracle. after a week  i was told to have an interview with a group and followed by another group one more week later. and got rejected an week after the second interview. one interviewer is not patient at all and not nice as what other people said. another is almost no emotional i can not feel whether he is happy or not about the answer ,mostly are general behavior questions about the projects on the resume like  1. what is your strength  2. what is your weakness  3. what s your hobby  4. what do you think is the most challenge part in xx project  5. what do you want to get from the internship  tell me about but also some basic technical questions like  1. tell me about some sorting algorithms you know  2. how will you find out a bug in the program   answer question
2015-02-05 06:44:14.41,one call to schedule onsite days. and then just fly to sf for two days onsite interview. i have four group to meet. they are located at hq  santa clara  and cupertino. the whole process was very smooth. hrs are very nice and the people who interviewed me are also very friendly. they didn t ask any challenging question. we talked about my background and what their group do for most of the process.,mostly behavior questions and about my resume.   answer question
2015-09-22 15:42:03.54,general algorithm   data structure questions with a few brain teasers just to gauge your raw iq. no coding required but they wanted you to step through every detail of the implementation so that s equivalent to coding it up. be prepared to explain anything you said  so the lesson is  never say anything you do not fully understand.,how to efficiently query regions on a 2 d plane   1 answer
2015-03-01 08:19:32.04,i sent my resume to the oracle recruiting email address  and got a reply from the hr. later  she called me asking for some basic information. it was not like a phone interview. then my resume was reviewed by groups in oracle. about one month later  i got the onsite interview invitation with the group descriptions. then i speak with five groups. some groups are in massachusetts  then the form would be a video interview. video interviews were basically more technical. others asked about the resume and projects i did in school  together with some small technical questions. they were not very hard. the time for each group was 1 hour and a quarter. and i speak with several persons in that group. between successive interviews  there was a quarter for rest. interviewers were very friendly  and made the interview more like a talking or discussion. now i am still waiting for the response.,general questions about resume  and some little coding problems.   answer question
2015-01-05 12:11:44.0,got contacted by a recruiter after submitting my resume on the career fair and had a short conversation over phone discussing about the process and timeline. then had an hour long interview with the hiring manager of a group. digged into every detail of almost all the information mentioned on the resume. no typical technical questions. all people are very helpful  nice  and friendly during the process. i think all they are looking for is someone who has the best matched technique background for their projects.,your resume  past projects  and conceptual technical questions related to past projects.   answer question
