Date, Experience, Questions
2015-10-07 13:23:26.13,i gave my resume at my college career fair and scheduled for an on campus interview there. the interviewer asked for a pen  as he did not bring one. the interview was more behavioral  as i discussed my  minimal  experience. then he had me write a simple nested for loop.,tell me about your projects   answer question how to write code that prints the following                        answer question
2015-09-05 21:45:27.893,talked about previous experiences. i was asked a couple of design questions and also asked about what things i would be doing over summer. very conversational in nature. pretty positive experience overall  but make sure you ask what projects you are interested in would like to do.,object oriented design implementation   answer question
2015-03-19 11:39:53.083,i dropped a resume at the career fair. talked to a manager at the career fair and he kept my resume and told me he would contact me soon. i was contacted a few days later for an on site interview with an engineer. standard process of exchanging introductions and a technical interview,if you have student names and test scores return the k students who scored the highest   answer question
2015-04-13 10:32:35.043,my interview was conducted over the phone and consisted of purely technical questions. the interviewer spoke softly and had a rather thick accent  which i don t hold against him but ultimately made every one of his utterances extremely difficult to understand. after this interview i was explicitly told that i d be contacted with my results within 3 weeks  but visa neglected to ever contact me. on top of this  visa seems to have no consistency in how they conduct their interviews. i say this because i personally know people that had visa phone interviews around the same time that i did  but their experiences were drastically easier and favored behavioral questions over technical.,describe euclid s algorithm and provide some of its real world applications.   answer question what is the difference between a hash function and a secure hash function  and how would you go about altering a hash function to make it secure    answer question
2015-04-21 12:23:19.023,this is a phone interview. i submit the resume through university career fair. the interviewer called me and introduced visa then go through me resume and ask me some questions about my project and in the end  give me a coding test.,  a program to find the sum of contiguous subarray within a one dimensional array of numbers which has the largest sum.     2  3  3   1   2  1  5   3     2  3  4  1  2  1  5  3    2 answers
2015-10-19 20:19:12.523,asked me about my resume   projects i had worked on. the originally scheduled 45 minute interview along with the interviewer were changed at the last minute. the replacement interviewer visa employee had a callous  condescending attitude and was not at all interested in interviewing him. he showed the least interest when i was talking about my projects. he asked if i could code in map reduce but never gave me a coding question. 30 minute interview without coding.,what were the size of the datasets i had worked on    answer question
2015-03-26 08:52:01.357,very relaxed  laid back. was asked about experience  past interactions with groups  and some brain teasers. interview process was mainly behavioral however there were some technical questions. emphasis was placed more heavily upon if you would be a good fit for the company. overall i found the interview process enjoyable.,how have you handled group members who were hard to work with    1 answer
2015-03-02 20:52:15.403,contacted by recruiter for an on campus interview. the interview was 30 minutes with all behavior questions. i have a good chat with them  the interviewers were friendly and nice. after i answered their questions  they gave me 5 minutes for asking about them. 1 month later  i got an email saying that i was not considered for the internship,what do you see yourself in 5 years   answer question
2015-04-29 01:20:33.99,i had 1 phone screen interview from hr and 1 phone interview from a director. then there was 1 hacker rank challenge. if everything is successful  they invite you for a onsite interview. there were 3 one one interviews on onsite they take a lot of time after you attend the onsite interview to deliver the result.,phone interviews are based on your resume. hackerrank is simple if you keep practising on the hackerrank platform 2 onsite interviews are problem solving on linked list  bst  system design   string one onsite interview with a person on various technologies you worked and what they expect   2 answers
2015-02-06 15:44:46.853,approached through university career fair. got call for an interview for two days later. interview was overall resume based. asked about most interesting thing i have done in computer science since i was introduced to computers. mostly emphasized on getting to know my profile.,project that i did other than for academics that i am proud of.   answer question
Date, Experience, Questions
